tier,forecast_month,cpu_cost,gpu_cost,ram_cost,storage_cost,total_cost
budget,2026-06-01,200.0,386.075,58.75,109.98,754.8050000000001
budget,2026-07-01,197.95,380.725,58.75,109.98,747.405
budget,2026-08-01,197.9,376.52,58.75,109.98,743.15
budget,2026-09-01,197.9,375.07000000000005,58.75,109.98,741.7
budget,2026-10-01,197.9,377.235,58.75,109.98,743.865
budget,2026-11-01,197.9,382.90999999999997,58.75,109.98,749.54
budget,2026-12-01,197.9,390.88,58.75,109.98,757.51
budget,2027-01-01,198.405,399.395,58.75,109.98,766.53
budget,2027-02-01,199.94,406.34000000000003,58.75,109.98,775.01
budget,2027-03-01,199.94,410.52,58.75,109.98,779.19
budget,2027-04-01,199.94,411.09000000000003,58.75,109.98,779.76
budget,2027-05-01,199.62,408.145,58.75,109.98,776.495
high,2026-06-01,424.065,1379.48,302.33500000000004,276.49,2382.37
high,2026-07-01,417.87,1373.71,297.53,269.525,2358.6349999999998
high,2026-08-01,412.77,1375.13,292.37,263.88,2344.15
high,2026-09-01,409.71,1381.23,288.57500000000005,259.15999999999997,2338.675
high,2026-10-01,410.27,1387.37,288.645,259.935,2346.22
high,2026-11-01,413.81,1403.1,292.745,264.51,2374.165
high,2026-12-01,419.95,1420.14,296.77,271.42499999999995,2408.285
high,2027-01-01,426.845,1433.94,301.915,279.01,2441.71
high,2027-02-01,432.59000000000003,1445.82,307.32,285.19,2470.92
high,2027-03-01,435.58,1448.98,309.875,288.255,2482.69
high,2027-04-01,437.03499999999997,1448.53,309.03999999999996,287.37,2481.975
high,2027-05-01,435.33,1450.46,305.19,284.065,2475.045
mid,2026-06-01,295.45,726.88,120.19,149.82999999999998,1292.35
mid,2026-07-01,288.76,720.275,120.19,149.365,1278.59
mid,2026-08-01,283.23,714.435,120.19,148.82999999999998,1266.685
mid,2026-09-01,280.83,712.835,120.19,148.82999999999998,1262.685
mid,2026-10-01,282.13,716.725,120.19,148.82999999999998,1267.875
mid,2026-11-01,285.97,724.125,120.19,148.82999999999998,1279.115
mid,2026-12-01,292.44,733.9949999999999,120.19,148.82999999999998,1295.455
mid,2027-01-01,300.01,742.0550000000001,120.19,148.82999999999998,1311.085
mid,2027-02-01,306.43,748.63,120.19,148.82999999999998,1324.08
mid,2027-03-01,310.1,752.565,120.19,149.81,1332.665
mid,2027-04-01,310.15,751.03,120.19,149.16,1330.53
mid,2027-05-01,306.69,744.63,120.19,148.82999999999998,1320.34
