chipset,month,real_median_price,real_mean_price,sample_size,raw_sample_size
GTX 1050,2025-12-01,165.95,188.17,74,74
GTX 1050,2026-01-01,296.0,224.0,158,158
GTX 1050,2026-02-01,165.95,215.97,142,142
GTX 1050,2026-03-01,135.9,141.13,45,45
GTX 1050,2026-04-01,165.95,160.03,94,94
GTX 1050,2026-05-01,150.67,153.07,22,22
GTX 1050 Ti,2025-09-01,165.37,185.63,116,128
GTX 1050 Ti,2025-10-01,229.7,215.55,345,362
GTX 1050 Ti,2025-11-01,185.97,190.25,233,289
GTX 1050 Ti,2025-12-01,79.88,115.07,201,219
GTX 1050 Ti,2026-01-01,169.95,155.17,23,23
GTX 1050 Ti,2026-02-01,169.95,159.02,28,28
GTX 1050 Ti,2026-03-01,169.95,169.95,29,38
GTX 1050 Ti,2026-04-01,236.2,204.1,59,59
GTX 1050 Ti,2026-05-01,169.95,169.95,6,6
GTX 1060,2025-09-01,300.0,332.7,43,53
GTX 1060,2025-10-01,296.82,295.01,103,131
GTX 1060,2025-11-01,285.22,233.0,113,113
GTX 1060,2025-12-01,259.95,238.98,184,184
GTX 1060,2026-01-01,259.95,240.8,204,204
GTX 1060,2026-02-01,300.0,283.58,369,369
GTX 1060,2026-03-01,259.95,246.15,272,272
GTX 1060,2026-04-01,269.95,263.02,309,309
GTX 1060,2026-05-01,269.95,274.13,98,98
GTX 1070,2025-09-01,193.8,193.86,37,38
GTX 1070,2025-10-01,193.8,193.86,86,88
GTX 1070,2025-11-01,204.0,200.55,90,90
GTX 1070,2025-12-01,193.8,193.86,27,27
GTX 1070 Ti,2025-12-01,350.0,362.12,33,33
GTX 1070 Ti,2026-01-01,350.0,361.7,47,47
GTX 1070 Ti,2026-02-01,362.5,362.5,56,56
GTX 1070 Ti,2026-03-01,375.0,363.1,63,63
GTX 1070 Ti,2026-04-01,362.5,362.5,60,80
GTX 1070 Ti,2026-05-01,350.0,292.0,21,21
GTX 1080,2025-09-01,349.99,349.99,152,176
GTX 1080,2025-10-01,349.99,456.9,169,169
GTX 1080,2025-11-01,879.43,799.65,57,57
GTX 1080,2025-12-01,725.38,765.93,33,33
GTX 1080,2026-01-01,721.14,724.48,22,26
GTX 1080,2026-02-01,730.85,731.91,28,32
GTX 1080,2026-03-01,730.32,731.31,24,31
GTX 1080,2026-04-01,690.02,688.94,30,30
GTX 1080,2026-05-01,735.15,734.36,7,7
