component_id,model,category,brand,date,price,event_label,data_source
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2023-01-01,109.22,"post_crypto_deflation,nand_oversupply",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2023-02-01,100.92,"post_crypto_deflation,nand_oversupply",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2023-03-01,107.95,"post_crypto_deflation,ai_demand_wave,nand_oversupply",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2023-04-01,107.15,"post_crypto_deflation,ai_demand_wave,nand_oversupply",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2023-05-01,94.76,"post_crypto_deflation,ai_demand_wave,nand_oversupply",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2023-06-01,95.99,"post_crypto_deflation,ai_demand_wave,nand_oversupply",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2023-07-01,100.26,"ai_demand_wave,nand_oversupply",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2023-08-01,98.01,"ai_demand_wave,nand_oversupply",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2023-09-01,109.52,ai_demand_wave,synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2023-10-01,106.41,"ai_demand_wave,ram_shortage",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2023-11-01,106.6,"ai_demand_wave,ram_shortage,black_friday_2023",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2023-12-01,114.74,"ai_demand_wave,ram_shortage",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2024-01-01,111.03,"ram_shortage,ai_investment_surge",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2024-02-01,112.9,"ram_shortage,ai_investment_surge",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2024-03-01,109.5,"ram_shortage,ai_investment_surge",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2024-04-01,102.25,"ram_shortage,ai_investment_surge",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2024-05-01,106.91,ai_investment_surge,synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2024-06-01,99.79,ai_investment_surge,synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2024-07-01,105.78,ai_investment_surge,synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2024-08-01,101.46,new_cpu_gen_releases,synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2024-09-01,102.47,new_cpu_gen_releases,synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2024-10-01,100.91,new_cpu_gen_releases,synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2024-11-01,102.77,"new_cpu_gen_releases,black_friday_2024",synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2024-12-01,104.07,new_cpu_gen_releases,synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2025-01-01,102.39,rtx5000_launch_pressure,synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2025-02-01,100.17,rtx5000_launch_pressure,synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2025-03-01,103.21,rtx5000_launch_pressure,synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2025-04-01,100.98,rtx5000_launch_pressure,synthetic
acer fa100 | 2.0TB | SSD,acer fa100,Storage,acer,2025-05-01,100.62,rtx5000_launch_pressure,synthetic
acer predator gm7000 | 1.0TB | SSD,acer predator gm7000,Storage,acer,2023-01-01,81.13,"post_crypto_deflation,nand_oversupply",synthetic
acer predator gm7000 | 1.0TB | SSD,acer predator gm7000,Storage,acer,2023-02-01,84.64,"post_crypto_deflation,nand_oversupply",synthetic
acer predator gm7000 | 1.0TB | SSD,acer predator gm7000,Storage,acer,2023-03-01,76.47,"post_crypto_deflation,ai_demand_wave,nand_oversupply",synthetic
acer predator gm7000 | 1.0TB | SSD,acer predator gm7000,Storage,acer,2023-04-01,75.15,"post_crypto_deflation,ai_demand_wave,nand_oversupply",synthetic
acer predator gm7000 | 1.0TB | SSD,acer predator gm7000,Storage,acer,2023-05-01,74.01,"post_crypto_deflation,ai_demand_wave,nand_oversupply",synthetic
acer predator gm7000 | 1.0TB | SSD,acer predator gm7000,Storage,acer,2023-06-01,77.36,"post_crypto_deflation,ai_demand_wave,nand_oversupply",synthetic
acer predator gm7000 | 1.0TB | SSD,acer predator gm7000,Storage,acer,2023-07-01,77.87,"ai_demand_wave,nand_oversupply",synthetic
acer predator gm7000 | 1.0TB | SSD,acer predator gm7000,Storage,acer,2023-08-01,73.94,"ai_demand_wave,nand_oversupply",synthetic
acer predator gm7000 | 1.0TB | SSD,acer predator gm7000,Storage,acer,2023-09-01,79.4,ai_demand_wave,synthetic
acer predator gm7000 | 1.0TB | SSD,acer predator gm7000,Storage,acer,2023-10-01,80.01,"ai_demand_wave,ram_shortage",synthetic
