component_id,category,brand,model,year,price,value_metric,metric_label
acer nitro oc | Arc B570,GPU,acer,acer nitro oc,2025,239.99,23.999000000000002,$/GB VRAM
acer nitro oc | Arc B580,GPU,acer,acer nitro oc,2025,319.99,26.665833333333335,$/GB VRAM
acer nitro oc | Radeon RX 7700 XT,GPU,acer,acer nitro oc,2023,389.99,32.49916666666667,$/GB VRAM
acer nitro oc | Radeon RX 9070,GPU,acer,acer nitro oc,2025,832.67,52.041875,$/GB VRAM
acer nitro oc | Radeon RX 9070 XT,GPU,acer,acer nitro oc,2025,987.91,61.744375,$/GB VRAM
acer predator bifrost oc | Arc A750,GPU,acer,acer predator bifrost oc,2023,199.99,24.99875,$/GB VRAM
acer predator bifrost oc | Arc A770,GPU,acer,acer predator bifrost oc,2023,299.99,18.749375,$/GB VRAM
acer predator bifrost oc | Radeon RX 7800 XT,GPU,acer,acer predator bifrost oc,2023,499.99,31.249375,$/GB VRAM
acer predator bifrost oc | Radeon RX 9070,GPU,acer,acer predator bifrost oc,2025,899.95,56.246875,$/GB VRAM
amd 100-438373 | Radeon RX 6900 XT,GPU,amd,amd 100-438373,2023,999.99,62.499375,$/GB VRAM
amd 100-438373 | Radeon RX 6900 XT,GPU,amd,amd 100-438373,2025,1099.99,68.749375,$/GB VRAM
amd 100-506061 | Vega Frontier Edition,GPU,amd,amd 100-506061,2025,1149.0,71.8125,$/GB VRAM
asrock challenger d oc | Radeon RX 5500 XT,GPU,asrock,asrock challenger d oc,2023,139.0,34.75,$/GB VRAM
asrock challenger d oc | Radeon RX 5500 XT,GPU,asrock,asrock challenger d oc,2025,411.32,102.83,$/GB VRAM
asrock challenger d oc | Radeon RX 5700 XT,GPU,asrock,asrock challenger d oc,2023,199.99,24.99875,$/GB VRAM
asrock challenger d oc | Radeon RX 6600 XT,GPU,asrock,asrock challenger d oc,2023,229.99,28.74875,$/GB VRAM
asrock challenger d | Arc A750,GPU,asrock,asrock challenger d,2023,199.99,24.99875,$/GB VRAM
asrock challenger d | Radeon RX 6600,GPU,asrock,asrock challenger d,2023,189.99,23.74875,$/GB VRAM
asrock challenger d | Radeon RX 6600,GPU,asrock,asrock challenger d,2025,219.99,27.49875,$/GB VRAM
asrock challenger itx | Radeon RX 6400,GPU,asrock,asrock challenger itx,2023,124.99,31.2475,$/GB VRAM
asrock challenger itx | Radeon RX 6400,GPU,asrock,asrock challenger itx,2025,191.05,47.7625,$/GB VRAM
asrock challenger itx | Radeon RX 6600 XT,GPU,asrock,asrock challenger itx,2023,239.99,29.99875,$/GB VRAM
asrock challenger oc | Arc A580,GPU,asrock,asrock challenger oc,2023,164.99,20.62375,$/GB VRAM
asrock challenger oc | Arc A770,GPU,asrock,asrock challenger oc,2023,279.99,17.499375,$/GB VRAM
asrock challenger oc | Arc B570,GPU,asrock,asrock challenger oc,2025,239.98,23.997999999999998,$/GB VRAM
asrock challenger oc | Arc B580,GPU,asrock,asrock challenger oc,2025,269.98,22.498333333333335,$/GB VRAM
asrock challenger oc | Radeon RX 7600,GPU,asrock,asrock challenger oc,2023,259.99,32.49875,$/GB VRAM
asrock challenger oc | Radeon RX 7600,GPU,asrock,asrock challenger oc,2025,279.97,34.99625,$/GB VRAM
asrock challenger oc | Radeon RX 7700 XT,GPU,asrock,asrock challenger oc,2023,399.99,33.3325,$/GB VRAM
asrock challenger oc | Radeon RX 7700 XT,GPU,asrock,asrock challenger oc,2025,399.97,33.33083333333334,$/GB VRAM
asrock challenger oc | Radeon RX 7800 XT,GPU,asrock,asrock challenger oc,2023,479.99,29.999375,$/GB VRAM
asrock challenger oc | Radeon RX 7800 XT,GPU,asrock,asrock challenger oc,2025,840.45,52.528125,$/GB VRAM
asrock challenger oc | Radeon RX 7900 GRE,GPU,asrock,asrock challenger oc,2023,539.99,33.749375,$/GB VRAM
asrock challenger oc | Radeon RX 9060 XT,GPU,asrock,asrock challenger oc,2025,344.99,21.561875,$/GB VRAM
asrock challenger pro oc | Radeon RX 6750 XT,GPU,asrock,asrock challenger pro oc,2023,329.99,27.499166666666667,$/GB VRAM
asrock challenger pro oc | Radeon RX 6800,GPU,asrock,asrock challenger pro oc,2025,998.18,62.38625,$/GB VRAM
asrock challenger se oc | Arc A750,GPU,asrock,asrock challenger se oc,2025,340.84,42.605,$/GB VRAM
asrock challenger | Radeon RX 6600,GPU,asrock,asrock challenger,2023,224.99,28.12375,$/GB VRAM
asrock challenger | Radeon RX 6600,GPU,asrock,asrock challenger,2025,318.42,39.8025,$/GB VRAM
asrock challenger | Radeon RX 9070,GPU,asrock,asrock challenger,2025,599.99,37.499375,$/GB VRAM
asrock creator | Radeon RX 7900 XT,GPU,asrock,asrock creator,2025,1024.99,51.2495,$/GB VRAM
asrock intel arc a380 challenger itx | Arc A380,GPU,asrock,asrock intel arc a380 challenger itx,2023,109.99,18.331666666666667,$/GB VRAM
asrock intel arc a380 challenger itx | Arc A380,GPU,asrock,asrock intel arc a380 challenger itx,2025,139.99,23.331666666666667,$/GB VRAM
asrock low profile | Arc A310,GPU,asrock,asrock low profile,2023,99.99,24.9975,$/GB VRAM
asrock low profile | Arc A380,GPU,asrock,asrock low profile,2023,104.99,17.49833333333333,$/GB VRAM
asrock oc formula | Radeon RX 6900 XT,GPU,asrock,asrock oc formula,2023,1006.3,62.89375,$/GB VRAM
asrock phantom gaming d oc | Radeon RX 6500 XT,GPU,asrock,asrock phantom gaming d oc,2023,139.99,34.9975,$/GB VRAM
asrock phantom gaming d oc | Radeon RX 6500 XT,GPU,asrock,asrock phantom gaming d oc,2025,159.99,39.9975,$/GB VRAM
asrock phantom gaming d oc | Radeon RX 6750 XT,GPU,asrock,asrock phantom gaming d oc,2023,339.99,28.3325,$/GB VRAM
asrock phantom gaming d oc | Radeon RX 6800 XT,GPU,asrock,asrock phantom gaming d oc,2023,499.99,31.249375,$/GB VRAM
asrock phantom gaming d oc | Radeon RX 6900 XT,GPU,asrock,asrock phantom gaming d oc,2023,699.95,43.746875,$/GB VRAM
asrock phantom gaming d oc | Radeon RX 6900 XT,GPU,asrock,asrock phantom gaming d oc,2025,1085.0,67.8125,$/GB VRAM
asrock phantom gaming d | Radeon RX 570,GPU,asrock,asrock phantom gaming d,2023,139.9,34.975,$/GB VRAM
asrock phantom gaming d | Radeon RX 570,GPU,asrock,asrock phantom gaming d,2025,429.9,107.475,$/GB VRAM
asrock phantom gaming oc | Arc A770,GPU,asrock,asrock phantom gaming oc,2023,299.99,18.749375,$/GB VRAM
asrock phantom gaming oc | Arc A770,GPU,asrock,asrock phantom gaming oc,2025,458.2,28.6375,$/GB VRAM
asrock phantom gaming oc | Radeon RX 7600,GPU,asrock,asrock phantom gaming oc,2023,269.99,33.74875,$/GB VRAM
asrock phantom gaming oc | Radeon RX 7600,GPU,asrock,asrock phantom gaming oc,2025,322.02,40.2525,$/GB VRAM
asrock phantom gaming oc | Radeon RX 7700 XT,GPU,asrock,asrock phantom gaming oc,2023,449.99,37.49916666666667,$/GB VRAM
asrock phantom gaming oc | Radeon RX 7800 XT,GPU,asrock,asrock phantom gaming oc,2023,519.99,32.499375,$/GB VRAM
asrock phantom gaming oc | Radeon RX 7900 XT,GPU,asrock,asrock phantom gaming oc,2023,694.99,34.7495,$/GB VRAM
asrock phantom gaming oc | Radeon RX 7900 XT,GPU,asrock,asrock phantom gaming oc,2025,970.92,48.546,$/GB VRAM
asrock phantom gaming oc | Radeon RX 7900 XTX,GPU,asrock,asrock phantom gaming oc,2023,929.99,38.749583333333334,$/GB VRAM
asrock phantom gaming oc | Radeon RX 7900 XTX,GPU,asrock,asrock phantom gaming oc,2025,899.99,37.499583333333334,$/GB VRAM
asrock phantom gaming | Radeon RX 6500 XT,GPU,asrock,asrock phantom gaming,2025,244.26,30.5325,$/GB VRAM
asrock steel legend dark | Radeon RX 9070 XT,GPU,asrock,asrock steel legend dark,2025,1615.52,100.97,$/GB VRAM
asrock steel legend oc | Arc B580,GPU,asrock,asrock steel legend oc,2025,279.98,23.331666666666667,$/GB VRAM
asrock steel legend oc | Radeon RX 7600,GPU,asrock,asrock steel legend oc,2023,269.99,33.74875,$/GB VRAM
asrock steel legend oc | Radeon RX 7600,GPU,asrock,asrock steel legend oc,2025,430.55,53.81875,$/GB VRAM
asrock steel legend oc | Radeon RX 7700 XT,GPU,asrock,asrock steel legend oc,2023,551.39,45.94916666666666,$/GB VRAM
asrock steel legend oc | Radeon RX 7700 XT,GPU,asrock,asrock steel legend oc,2025,809.81,67.48416666666667,$/GB VRAM
asrock steel legend oc | Radeon RX 7800 XT,GPU,asrock,asrock steel legend oc,2023,689.99,43.124375,$/GB VRAM
asrock steel legend oc | Radeon RX 7900 GRE,GPU,asrock,asrock steel legend oc,2023,569.99,35.624375,$/GB VRAM
asrock steel legend oc | Radeon RX 9060 XT,GPU,asrock,asrock steel legend oc,2025,429.5,26.84375,$/GB VRAM
asrock steel legend oc | Radeon RX 9070,GPU,asrock,asrock steel legend oc,2025,898.99,56.186875,$/GB VRAM
asrock steel legend | Radeon RX 9070 XT,GPU,asrock,asrock steel legend,2025,699.99,43.749375,$/GB VRAM
asrock taichi oc | Radeon RX 7900 XT,GPU,asrock,asrock taichi oc,2025,1049.99,52.4995,$/GB VRAM
asrock taichi oc | Radeon RX 7900 XTX,GPU,asrock,asrock taichi oc,2023,1129.99,47.08291666666667,$/GB VRAM
asrock taichi oc | Radeon RX 7900 XTX,GPU,asrock,asrock taichi oc,2025,1416.06,59.0025,$/GB VRAM
asrock taichi oc | Radeon RX 9070 XT,GPU,asrock,asrock taichi oc,2025,799.99,49.999375,$/GB VRAM
asus 710-1-sl | GeForce GT 710,GPU,asus,asus 710-1-sl,2025,203.0,203.0,$/GB VRAM
asus 90yv0810-u0na00 | GeForce GTX Titan X,GPU,asus,asus 90yv0810-u0na00,2023,1698.0,141.5,$/GB VRAM
asus 90yv0810-u0na00 | GeForce GTX Titan X,GPU,asus,asus 90yv0810-u0na00,2025,799.0,66.58333333333333,$/GB VRAM
asus ares 2dis 4gd5 | Radeon HD 5870 X2,GPU,asus,asus ares 2dis 4gd5,2025,1092.21,273.0525,$/GB VRAM
asus directcu ii | GeForce GTX 760,GPU,asus,asus directcu ii,2025,269.0,134.5,$/GB VRAM
asus dual advanced | GeForce RTX 4060 Ti,GPU,asus,asus dual advanced,2023,449.99,28.124375,$/GB VRAM
asus dual evo oc | GeForce GTX 1660 SUPER,GPU,asus,asus dual evo oc,2023,266.77,44.461666666666666,$/GB VRAM
asus dual evo oc | GeForce GTX 1660 SUPER,GPU,asus,asus dual evo oc,2025,329.99,54.998333333333335,$/GB VRAM
asus dual evo oc | GeForce RTX 2060,GPU,asus,asus dual evo oc,2023,343.95,57.324999999999996,$/GB VRAM
asus dual evo oc | GeForce RTX 2060,GPU,asus,asus dual evo oc,2025,339.99,56.665,$/GB VRAM
asus dual evo oc | GeForce RTX 2070 SUPER,GPU,asus,asus dual evo oc,2023,2325.5,290.6875,$/GB VRAM
asus dual evo oc | GeForce RTX 4060,GPU,asus,asus dual evo oc,2023,309.99,38.74875,$/GB VRAM
asus dual evo oc | GeForce RTX 4060,GPU,asus,asus dual evo oc,2025,439.99,54.99875,$/GB VRAM
asus dual evo oc | GeForce RTX 4060 Ti,GPU,asus,asus dual evo oc,2023,399.99,49.99875,$/GB VRAM
asus dual evo oc | GeForce RTX 4060 Ti,GPU,asus,asus dual evo oc,2025,607.93,75.99125,$/GB VRAM
asus dual evo oc | GeForce RTX 4070,GPU,asus,asus dual evo oc,2023,607.16,50.596666666666664,$/GB VRAM
asus dual evo oc | GeForce RTX 4070,GPU,asus,asus dual evo oc,2025,913.84,76.15333333333334,$/GB VRAM
asus dual evo oc | GeForce RTX 4070 SUPER,GPU,asus,asus dual evo oc,2023,599.99,49.99916666666667,$/GB VRAM
asus dual evo oc | GeForce RTX 4070 SUPER,GPU,asus,asus dual evo oc,2025,748.0,62.333333333333336,$/GB VRAM
asus dual evo oc | Radeon RX 7600,GPU,asus,asus dual evo oc,2025,274.99,34.37375,$/GB VRAM
asus dual evo | GeForce RTX 2060,GPU,asus,asus dual evo,2023,225.69,37.615,$/GB VRAM
asus dual evo | GeForce RTX 2060 12GB,GPU,asus,asus dual evo,2023,489.0,40.75,$/GB VRAM
asus dual evo | GeForce RTX 2060 12GB,GPU,asus,asus dual evo,2025,685.0,57.083333333333336,$/GB VRAM
asus dual geforce rtx 3060 v2 oc edition | GeForce RTX 3060 12GB,GPU,asus,asus dual geforce rtx 3060 v2 oc edition,2023,299.99,24.999166666666667,$/GB VRAM
asus dual geforce rtx 3060 v2 oc edition | GeForce RTX 3060 12GB,GPU,asus,asus dual geforce rtx 3060 v2 oc edition,2025,329.97,27.497500000000002,$/GB VRAM
asus dual mini oc | GeForce GTX 1650 G6,GPU,asus,asus dual mini oc,2023,238.0,59.5,$/GB VRAM
asus dual oc v2 | GeForce RTX 3060 Ti LHR,GPU,asus,asus dual oc v2,2023,599.99,74.99875,$/GB VRAM
asus dual oc v2 | GeForce RTX 3070 LHR,GPU,asus,asus dual oc v2,2023,499.0,62.375,$/GB VRAM
asus dual oc v2 | GeForce RTX 4060,GPU,asus,asus dual oc v2,2025,369.99,46.24875,$/GB VRAM
asus dual oc v2 | Radeon RX 7600,GPU,asus,asus dual oc v2,2023,279.99,34.99875,$/GB VRAM
asus dual oc | GeForce GTX 1650 G5,GPU,asus,asus dual oc,2023,232.83,58.2075,$/GB VRAM
asus dual oc | GeForce GTX 1650 G5,GPU,asus,asus dual oc,2025,225.0,56.25,$/GB VRAM
